First name,Last name,National Insurance number,In which tax year was the money purchase pension savings statement issued? (XXXX to XXXX),What is the total of the member’s pension input amounts for money purchase arrangements under the scheme for the tax year that the purchase pension savings statement was issued? (£)
Lesly,Lubowitz,AB965589C,2022 to 2023,494.77
Curt,Stiedemann,AB621369C,2022 to 2023,51.06
Vickie,Lemke,AB959061C,2022 to 2023,245.16
Corbin,Hills,AB551848C,2022 to 2023,908.26
Mireya,Dickinson,AB541797C,2022 to 2023,18.85
Abigail,McCullough,AB355280C,2022 to 2023,755.60
Anabelle,Eichmann,AB524844C,2022 to 2023,283.85
Marquis,Skiles,AB472948C,2022 to 2023,45.70
Foster,Schoen,AB521775C,2022 to 2023,411.68
Duncan,Luettgen,AB871768C,2022 to 2023,668.01
Simeon,Gibson,AB712107C,2022 to 2023,26.17
Allison,Ruecker,AB351558C,2022 to 2023,341.55
Geovany,Kertzmann,AB272254C,2022 to 2023,466.58
Lea,Quigley,AB213067C,2022 to 2023,45.98
Sophie,Nolan,AB706228C,2022 to 2023,593.30
Maximillia,Senger,AB680752C,2022 to 2023,424.37
Amos,Howell,AB476197C,2022 to 2023,484.93
Macie,Cummerata,AB112545C,2022 to 2023,798.84
Freida,Nolan,AB345287C,2022 to 2023,561.56
Karli,McLaughlin,AB836555C,2022 to 2023,145.24
Elza,Kessler,AB641722C,2022 to 2023,629.73
Kaylie,Farrell,AB759079C,2022 to 2023,569.28
Marilou,Gusikowski,AB512930C,2022 to 2023,934.68
Mable,Kilback,AB684462C,2022 to 2023,985.79
Hayden,Waelchi,AB445432C,2022 to 2023,17.26
Bert,Becker,AB644362C,2022 to 2023,883.54
Carolina,Dibbert,AB493966C,2022 to 2023,387.88
Shaun,Kunde,AB538370C,2022 to 2023,56.26
Maureen,Gutmann,AB559627C,2022 to 2023,271.67
Ava,Sawayn,AB754469C,2022 to 2023,182.30
Rosalee,Ritchie,AB976231C,2022 to 2023,80.73
Derek,O'Connell,AB995845C,2022 to 2023,833.59
Jaunita,Balistreri,AB915559C,2022 to 2023,932.77
Kaylah,Ullrich,AB432752C,2022 to 2023,521.83
Fern,Kessler,AB335121C,2022 to 2023,879.16
Samir,Yundt,AB721520C,2022 to 2023,23.42
Haylie,Davis,AB269674C,2022 to 2023,528.02
Ruby,Wyman,AB208257C,2022 to 2023,279.31
Annie,O'Conner,AB761464C,2022 to 2023,950.91
Bennie,Hagenes,AB744935C,2022 to 2023,404.50
Lavon,Russel,AB166746C,2022 to 2023,255.77
Alverta,Pacocha,AB243789C,2022 to 2023,256.49
Malinda,Kiehn,AB787204C,2022 to 2023,180.61
Mallie,Cremin,AB966571C,2022 to 2023,939.70
Jewell,Balistreri,AB900907C,2022 to 2023,185.88
Bernardo,Murazik,AB240164C,2022 to 2023,106.10
Melyssa,Rempel,AB470965C,2022 to 2023,971.33
Sonny,Stoltenberg,AB537166C,2022 to 2023,783.54
Maurine,Kertzmann,AB648522C,2022 to 2023,112.26
Marcelina,Connelly,AB212254C,2022 to 2023,924.52
Akeem,Kerluke,AB474755C,2022 to 2023,314.65
Daron,Predovic,AB903848C,2022 to 2023,206.00
Jerel,Abshire,AB847457C,2022 to 2023,599.92
Nathan,Stoltenberg,AB489606C,2022 to 2023,238.54
Shayne,Olson,AB217860C,2022 to 2023,52.58
Taylor,McLaughlin,AB265816C,2022 to 2023,470.23
Ericka,Green,AB836162C,2022 to 2023,554.54
Emmitt,Rutherford,AB399965C,2022 to 2023,249.17
Kitty,Strosin,AB182734C,2022 to 2023,275.93
Gunner,Gerlach,AB624781C,2022 to 2023,628.81
Mikel,Walsh,AB133881C,2022 to 2023,891.75
Emanuel,Spinka,AB526771C,2022 to 2023,152.30
Kian,Koch,AB480162C,2022 to 2023,453.07
Robb,Bednar,AB793064C,2022 to 2023,362.21
Van,Schuster,AB524492C,2022 to 2023,685.72
Kole,Krajcik,AB270037C,2022 to 2023,859.30
Ian,Weimann,AB552671C,2022 to 2023,468.06
Yvonne,Hagenes,AB599324C,2022 to 2023,462.24
Sierra,Wilderman,AB231173C,2022 to 2023,333.04
Lilliana,Glover,AB515555C,2022 to 2023,81.27
Casimer,Cassin,AB896429C,2022 to 2023,117.53
Roscoe,Kutch,AB354906C,2022 to 2023,845.85
Peggie,Schmeler,AB760684C,2022 to 2023,644.73
Kay,Greenholt,AB255388C,2022 to 2023,929.61
Gunnar,Glover,AB237162C,2022 to 2023,807.14
Veronica,Hyatt,AB955704C,2022 to 2023,828.33
Austyn,Davis,AB606074C,2022 to 2023,939.52
Eulalia,Lynch,AB970850C,2022 to 2023,633.02
Ashlee,Cartwright,AB358443C,2022 to 2023,145.65
Jamie,Jones,AB152967C,2022 to 2023,949.04
Destini,Nicolas,AB735687C,2022 to 2023,720.54
Daisy,Sporer,AB807416C,2022 to 2023,915.51
Sienna,Langosh,AB903828C,2022 to 2023,469.62
Sonia,Maggio,AB778257C,2022 to 2023,727.29
Jo,Douglas,AB709537C,2022 to 2023,695.34
Devon,Hand,AB551765C,2022 to 2023,135.86
Bertrand,Miller,AB231549C,2022 to 2023,18.40
Gavin,Hartmann,AB354435C,2022 to 2023,181.32
Dolly,Heller,AB292060C,2022 to 2023,849.46
Makenzie,Koch,AB671931C,2022 to 2023,549.90
Vito,Wiegand,AB750405C,2022 to 2023,552.90
Laila,Kuvalis,AB659060C,2022 to 2023,970.59
Amy,Rempel,AB796165C,2022 to 2023,151.60
Amie,Tillman,AB622036C,2022 to 2023,572.59
Earline,Windler,AB581575C,2022 to 2023,666.59
Clyde,Strosin,AB536426C,2022 to 2023,485.31
Kole,Pacocha,AB568879C,2022 to 2023,789.85
Mariela,Rempel,AB875664C,2022 to 2023,757.84
Josianne,Renner,AB830848C,2022 to 2023,875.64
Larry,Braun,AB506377C,2022 to 2023,742.02
Meta,Ullrich,AB977034C,2022 to 2023,341.74
Francesco,Ryan,AB869473C,2022 to 2023,781.18
Dorthy,Sauer,AB759716C,2022 to 2023,489.45
Jarrod,Schultz,AB819876C,2022 to 2023,850.64
Marlene,Franecki,AB622219C,2022 to 2023,835.29
Gertrude,Lindgren,AB722383C,2022 to 2023,409.44
Manuela,Pagac,AB113869C,2022 to 2023,338.16
Sophia,Ferry,AB268138C,2022 to 2023,61.78
Nikki,Dare,AB318219C,2022 to 2023,630.11
Rachel,Swaniawski,AB767890C,2022 to 2023,982.18
Jaycee,Collier,AB826010C,2022 to 2023,180.10
Jett,Sauer,AB464066C,2022 to 2023,84.19
Deshawn,Okuneva,AB763505C,2022 to 2023,459.50
Heber,Erdman,AB530770C,2022 to 2023,63.76
Madisen,Schowalter,AB888748C,2022 to 2023,60.97
Sammie,Ledner,AB119980C,2022 to 2023,791.69
Joannie,Larson,AB205726C,2022 to 2023,423.51
Jordon,Robel,AB203993C,2022 to 2023,470.23
Nelda,Treutel,AB969121C,2022 to 2023,360.82
Gus,Ortiz,AB717554C,2022 to 2023,853.70
Elliott,Crooks,AB251652C,2022 to 2023,420.31
Milan,Schiller,AB792048C,2022 to 2023,514.71
Noemi,Reinger,AB526177C,2022 to 2023,876.80
Douglas,Cummerata,AB742759C,2022 to 2023,39.86
Cathryn,Leuschke,AB269122C,2022 to 2023,127.61
Jordi,Lebsack,AB141221C,2022 to 2023,881.06
Emile,Tillman,AB222072C,2022 to 2023,615.55
Adela,Aufderhar,AB559723C,2022 to 2023,587.63
Frankie,Will,AB700972C,2022 to 2023,32.90
Noble,Morar,AB201507C,2022 to 2023,167.86
Jermain,Altenwerth,AB164070C,2022 to 2023,932.29
Rhianna,Spencer,AB268439C,2022 to 2023,915.36
Valentin,Heathcote,AB725539C,2022 to 2023,295.63
Rachel,Nolan,AB940253C,2022 to 2023,93.82
Eldred,Brown,AB149123C,2022 to 2023,147.76
Joseph,Mills,AB343765C,2022 to 2023,822.09
Celestine,Wintheiser,AB566533C,2022 to 2023,428.20
Gaston,Hintz,AB923428C,2022 to 2023,760.30
Jack,Berge,AB415973C,2022 to 2023,73.67
Doris,Schumm,AB623142C,2022 to 2023,54.15
Simeon,Johnston,AB258055C,2022 to 2023,331.46
Nova,Jaskolski,AB662966C,2022 to 2023,496.18
Emiliano,Robel,AB792116C,2022 to 2023,541.46
Geraldine,Yost,AB533383C,2022 to 2023,871.15
Dangelo,Lebsack,AB889120C,2022 to 2023,139.58
Flossie,Homenick,AB833699C,2022 to 2023,253.90
Webster,Kilback,AB863965C,2022 to 2023,975.25
Eda,Walsh,AB626479C,2022 to 2023,927.47
Princess,Schiller,AB107882C,2022 to 2023,484.09
Schuyler,Hayes,AB496613C,2022 to 2023,734.15
Abner,Hettinger,AB651290C,2022 to 2023,984.86
Brielle,Hermann,AB231301C,2022 to 2023,986.65
Camille,Jerde,AB287960C,2022 to 2023,226.17
Christ,Heathcote,AB424677C,2022 to 2023,431.51
Wilfred,Bradtke,AB701922C,2022 to 2023,976.18
Herminia,Kihn,AB865591C,2022 to 2023,372.32
Winona,Schuster,AB415079C,2022 to 2023,333.19
Dawson,Wintheiser,AB428221C,2022 to 2023,604.39
Leonie,Streich,AB422711C,2022 to 2023,32.23
Claudie,Wolff,AB228855C,2022 to 2023,941.55
Savanah,Reynolds,AB475789C,2022 to 2023,490.01
Gene,Raynor,AB709320C,2022 to 2023,648.83
Andy,Waters,AB919358C,2022 to 2023,290.90
Arturo,Corwin,AB767084C,2022 to 2023,620.79
Jade,Kautzer,AB390949C,2022 to 2023,896.12
Brain,Gottlieb,AB970293C,2022 to 2023,507.95
Raoul,Reynolds,AB295788C,2022 to 2023,102.61
Rhoda,Brekke,AB293286C,2022 to 2023,176.12
Orpha,Breitenberg,AB101136C,2022 to 2023,258.44
Alba,Beer,AB264243C,2022 to 2023,726.42
Veronica,Brakus,AB389019C,2022 to 2023,840.20
Jonas,Botsford,AB785024C,2022 to 2023,5.25
Jordyn,Price,AB550992C,2022 to 2023,49.59
Margie,Upton,AB129435C,2022 to 2023,211.94
Mazie,Volkman,AB136009C,2022 to 2023,523.99
Winston,Balistreri,AB474054C,2022 to 2023,989.89
Cullen,Willms,AB891303C,2022 to 2023,312.06
Cleveland,Lebsack,AB784726C,2022 to 2023,816.38
Lonie,Spinka,AB974772C,2022 to 2023,514.75
Liliana,White,AB825825C,2022 to 2023,637.67
Kyra,Jones,AB400035C,2022 to 2023,93.51
Freida,Muller,AB414851C,2022 to 2023,39.43
Lincoln,Wehner,AB809377C,2022 to 2023,914.22
Rhianna,Bayer,AB657088C,2022 to 2023,892.57
Candelario,Collier,AB948799C,2022 to 2023,812.21
Celine,Jakubowski,AB686654C,2022 to 2023,547.54
Ryleigh,Koch,AB729452C,2022 to 2023,296.50
Ray,Hermiston,AB462576C,2022 to 2023,205.24
Bradley,Weber,AB336372C,2022 to 2023,851.18
Athena,Mills,AB758622C,2022 to 2023,757.66
Richard,Streich,AB800803C,2022 to 2023,264.74
Jonatan,Nienow,AB182621C,2022 to 2023,585.11
Logan,Emard,AB762848C,2022 to 2023,3.42
Price,Bahringer,AB942075C,2022 to 2023,525.14
Florence,Metz,AB528203C,2022 to 2023,518.74
Rowland,Bradtke,AB481417C,2022 to 2023,363.16
Keanu,Jacobs,AB107228C,2022 to 2023,403.79
Berry,Shields,AB977880C,2022 to 2023,722.36
Darius,Kunze,AB828244C,2022 to 2023,400.00
Flossie,Kohler,AB793778C,2022 to 2023,83.59
Brenda,Schuppe,AB620025C,2022 to 2023,898.43
Dayne,Raynor,AB588263C,2022 to 2023,255.84
Lillian,Shanahan,AB730211C,2022 to 2023,875.52
Desiree,Kling,AB891960C,2022 to 2023,419.15
Foster,Rice,AB274520C,2022 to 2023,349.74
Berniece,Prohaska,AB531624C,2022 to 2023,23.15
Janiya,Pouros,AB536749C,2022 to 2023,82.03
Arne,Waelchi,AB811818C,2022 to 2023,917.85
Colten,Moore,AB316474C,2022 to 2023,104.04
Margarett,Russel,AB199493C,2022 to 2023,909.91
Blake,Rosenbaum,AB958954C,2022 to 2023,145.95
Jamey,Ernser,AB989368C,2022 to 2023,88.88
Antonetta,Dach,AB987051C,2022 to 2023,904.46
Perry,Denesik,AB391256C,2022 to 2023,764.67
Grace,Greenholt,AB634756C,2022 to 2023,112.10
Amya,Klocko,AB729112C,2022 to 2023,770.37
Brennan,Morar,AB308302C,2022 to 2023,505.20
Ignacio,McKenzie,AB619640C,2022 to 2023,220.90
Hailie,Ratke,AB753212C,2022 to 2023,430.54
Arno,Gleason,AB286350C,2022 to 2023,669.16
Jamal,Nolan,AB404130C,2022 to 2023,502.86
Alec,Walter,AB945069C,2022 to 2023,384.98
Sandra,Bogisich,AB263418C,2022 to 2023,253.51
Jillian,Bednar,AB588572C,2022 to 2023,730.90
Violette,Gulgowski,AB161856C,2022 to 2023,215.75
Holden,Nolan,AB874577C,2022 to 2023,480.49
Jacques,Rowe,AB630325C,2022 to 2023,959.35
Alexandrea,D'Amore,AB191515C,2022 to 2023,99.00
Krista,Stiedemann,AB750994C,2022 to 2023,364.42
Marisa,D'Amore,AB781396C,2022 to 2023,330.52
Dakota,Grady,AB149663C,2022 to 2023,111.67
Ena,Beer,AB787154C,2022 to 2023,786.57
Maurice,Gislason,AB409849C,2022 to 2023,633.64
Adah,Kub,AB902215C,2022 to 2023,64.14
Augustine,Welch,AB343393C,2022 to 2023,887.21
Gerhard,Predovic,AB411373C,2022 to 2023,564.74
Trey,Kihn,AB236420C,2022 to 2023,415.34
Janiya,Schowalter,AB451852C,2022 to 2023,707.93
Cheyanne,Roberts,AB139482C,2022 to 2023,280.44
Norbert,Grady,AB795077C,2022 to 2023,953.02
Eileen,Stamm,AB872287C,2022 to 2023,479.74
Howard,Luettgen,AB171574C,2022 to 2023,650.20
Aniya,Abbott,AB377069C,2022 to 2023,226.83
Emmanuelle,Torp,AB938870C,2022 to 2023,328.09
Idell,Von,AB561036C,2022 to 2023,852.88
Chloe,Effertz,AB466336C,2022 to 2023,438.66
Leonardo,Wisozk,AB315910C,2022 to 2023,273.87
Elinore,Hackett,AB324575C,2022 to 2023,871.14
Braulio,McLaughlin,AB924549C,2022 to 2023,270.49
Isabel,Mraz,AB913124C,2022 to 2023,999.62
Edison,Dickinson,AB272238C,2022 to 2023,106.12
Maximus,Stoltenberg,AB543030C,2022 to 2023,203.80
Bartholome,Ullrich,AB815101C,2022 to 2023,546.32
Elvie,Konopelski,AB612215C,2022 to 2023,557.64
Myriam,Nader,AB773575C,2022 to 2023,114.17
Nathan,Emard,AB353596C,2022 to 2023,566.36
Colin,Larkin,AB358804C,2022 to 2023,569.58
Beth,Homenick,AB943806C,2022 to 2023,168.43
Dax,Ortiz,AB775127C,2022 to 2023,529.41
Lelia,Kiehn,AB862876C,2022 to 2023,629.33
Polly,Hagenes,AB801575C,2022 to 2023,359.33
Elsie,O'Keefe,AB366863C,2022 to 2023,820.08
Lelah,Beier,AB527638C,2022 to 2023,581.70
Daisy,Murazik,AB442103C,2022 to 2023,504.38
Jaden,Hagenes,AB224516C,2022 to 2023,910.57
Gerson,Hodkiewicz,AB465866C,2022 to 2023,458.46
Lillie,Bins,AB985224C,2022 to 2023,292.07
Hector,McLaughlin,AB565420C,2022 to 2023,8.05
Glenna,Kunde,AB110325C,2022 to 2023,380.15
Brock,Douglas,AB582616C,2022 to 2023,99.01
Sheila,Ryan,AB750626C,2022 to 2023,535.31
Margarette,Keebler,AB938414C,2022 to 2023,36.69
Solon,Blanda,AB907272C,2022 to 2023,746.00
Electa,Ward,AB999438C,2022 to 2023,577.76
Alanna,Pacocha,AB142139C,2022 to 2023,194.87
Lupe,Morar,AB908894C,2022 to 2023,150.59
Nat,Hegmann,AB556094C,2022 to 2023,780.83
Lolita,Leffler,AB500085C,2022 to 2023,119.74
Pauline,Reinger,AB481698C,2022 to 2023,598.98
Tatum,Koss,AB438689C,2022 to 2023,284.47
Verona,Spinka,AB528427C,2022 to 2023,329.42
Ephraim,Ruecker,AB531005C,2022 to 2023,236.14
Lazaro,Carter,AB901835C,2022 to 2023,980.48
Pasquale,Gleichner,AB278815C,2022 to 2023,287.09
Clara,Deckow,AB537606C,2022 to 2023,168.42
Angelita,Cormier,AB322051C,2022 to 2023,8.22
Sabrina,Halvorson,AB953541C,2022 to 2023,56.40
Arthur,Kemmer,AB714028C,2022 to 2023,361.53
Clovis,Gleichner,AB180809C,2022 to 2023,326.19
Oral,Satterfield,AB626457C,2022 to 2023,34.45
Braxton,Mann,AB910760C,2022 to 2023,411.13
Mabel,Collier,AB993544C,2022 to 2023,677.78
Dandre,Kovacek,AB217139C,2022 to 2023,352.09
Pamela,D'Amore,AB156641C,2022 to 2023,296.83
Angel,Gorczany,AB461966C,2022 to 2023,980.47
Mervin,Kemmer,AB619013C,2022 to 2023,185.48
Jackson,Brekke,AB523474C,2022 to 2023,106.73
Tania,Harris,AB639768C,2022 to 2023,43.03
Constance,Hodkiewicz,AB165552C,2022 to 2023,827.29
Delmer,Koepp,AB323363C,2022 to 2023,713.19
Rae,Tillman,AB956117C,2022 to 2023,832.48
Jamison,O'Connell,AB617711C,2022 to 2023,139.85
Sarai,Hammes,AB840950C,2022 to 2023,597.94
Leila,Wisoky,AB678565C,2022 to 2023,660.53
Conner,Sanford,AB708570C,2022 to 2023,554.26
Robb,Harris,AB824594C,2022 to 2023,861.29
Marjory,Lesch,AB615793C,2022 to 2023,516.40
General,Gibson,AB463441C,2022 to 2023,15.98
Brenden,Huel,AB345342C,2022 to 2023,749.12
Alexandre,Hagenes,AB422334C,2022 to 2023,565.76
Timothy,Schimmel,AB788976C,2022 to 2023,439.84
Veda,Ondricka,AB861950C,2022 to 2023,693.81
Daniella,Hauck,AB472498C,2022 to 2023,619.65
Claudia,Hermiston,AB264100C,2022 to 2023,201.90
Justyn,Mitchell,AB518136C,2022 to 2023,339.20
Polly,Fahey,AB798968C,2022 to 2023,911.68
Bradly,Oberbrunner,AB737703C,2022 to 2023,883.19
Clotilde,Runte,AB661007C,2022 to 2023,875.20
Lysanne,Ebert,AB366437C,2022 to 2023,204.89
Madelynn,Kovacek,AB208838C,2022 to 2023,373.12
Rhett,Schimmel,AB998247C,2022 to 2023,128.97
Johanna,Hansen,AB399142C,2022 to 2023,441.26
Mireya,Keeling,AB708145C,2022 to 2023,809.11
Dulce,Wuckert,AB519412C,2022 to 2023,763.68
Earl,McClure,AB540813C,2022 to 2023,447.51
General,Buckridge,AB434840C,2022 to 2023,132.99
Dejon,Waters,AB604409C,2022 to 2023,191.11
Thomas,Schimmel,AB921464C,2022 to 2023,508.12
Chase,Lindgren,AB687351C,2022 to 2023,753.98
Rosalee,Lesch,AB308104C,2022 to 2023,964.43
Cristian,Herman,AB495631C,2022 to 2023,82.86
Olin,Romaguera,AB253028C,2022 to 2023,964.88
Raven,Watsica,AB255954C,2022 to 2023,423.55
Bud,Hand,AB196862C,2022 to 2023,89.66
Meaghan,Hermiston,AB691171C,2022 to 2023,203.34
Johnathon,Bergnaum,AB127383C,2022 to 2023,799.65
Arnulfo,Renner,AB249486C,2022 to 2023,998.81
Francesca,Homenick,AB866251C,2022 to 2023,898.92
Hope,Reinger,AB727258C,2022 to 2023,255.61
Nayeli,Keebler,AB962125C,2022 to 2023,402.72
Veda,Toy,AB775999C,2022 to 2023,328.10
Charlie,Herzog,AB717790C,2022 to 2023,595.54
Viva,Frami,AB329137C,2022 to 2023,483.67
Giles,Wunsch,AB976167C,2022 to 2023,137.02
Briana,Bosco,AB318687C,2022 to 2023,259.86
Francisca,Auer,AB535374C,2022 to 2023,760.62
Shaun,Hills,AB220638C,2022 to 2023,806.07
Ashleigh,Emmerich,AB365081C,2022 to 2023,298.02
Ceasar,Huels,AB604954C,2022 to 2023,465.94
Dell,Bayer,AB360327C,2022 to 2023,287.49
Kevin,Farrell,AB108108C,2022 to 2023,576.34
Emery,Gaylord,AB621012C,2022 to 2023,127.42
Nyasia,Krajcik,AB884789C,2022 to 2023,48.71
Jacques,Thompson,AB467228C,2022 to 2023,779.56
Oma,McKenzie,AB641852C,2022 to 2023,1.11
Gust,Conn,AB875185C,2022 to 2023,210.02
Sarah,Marvin,AB401127C,2022 to 2023,693.81
Serenity,Schroeder,AB769112C,2022 to 2023,869.51
Ole,Powlowski,AB738925C,2022 to 2023,84.49
Angela,Aufderhar,AB600995C,2022 to 2023,592.30
Sammy,Larkin,AB197202C,2022 to 2023,283.31
Elvie,Pagac,AB928892C,2022 to 2023,642.18
Gabrielle,Veum,AB862805C,2022 to 2023,303.10
Terrell,Armstrong,AB624064C,2022 to 2023,17.99
Brennon,Treutel,AB732238C,2022 to 2023,127.33
Jackeline,Klocko,AB755193C,2022 to 2023,909.80
Meredith,Hane,AB643424C,2022 to 2023,70.95
Savanna,DuBuque,AB878046C,2022 to 2023,344.08
Rebecca,Fay,AB937035C,2022 to 2023,313.89
Retta,Ondricka,AB398603C,2022 to 2023,439.50
Denis,Ledner,AB781831C,2022 to 2023,882.04
Aileen,Kilback,AB472065C,2022 to 2023,262.37
Nayeli,Mitchell,AB650479C,2022 to 2023,458.48
Maye,Gerlach,AB288673C,2022 to 2023,115.61
Nolan,Kerluke,AB819214C,2022 to 2023,768.17
Chaz,Macejkovic,AB553666C,2022 to 2023,112.20
Dee,Wisoky,AB645440C,2022 to 2023,545.42
Thurman,Roob,AB177341C,2022 to 2023,315.00
Jaylon,Daugherty,AB288790C,2022 to 2023,270.39
Seamus,Mueller,AB396538C,2022 to 2023,450.85
Florence,Sawayn,AB685483C,2022 to 2023,173.23
Kaia,Jast,AB172732C,2022 to 2023,447.22
Xander,Bahringer,AB304659C,2022 to 2023,63.87
Jaleel,Eichmann,AB612871C,2022 to 2023,99.03
Marge,Stamm,AB171268C,2022 to 2023,339.48
Luz,Gusikowski,AB306177C,2022 to 2023,953.46
Arnulfo,Johnston,AB223575C,2022 to 2023,892.60
Tiara,Torp,AB887541C,2022 to 2023,181.66
Dominic,Lehner,AB251465C,2022 to 2023,114.51
Wyatt,Ortiz,AB373505C,2022 to 2023,790.37
Alysha,Mann,AB138606C,2022 to 2023,118.85
Jalon,Greenholt,AB959485C,2022 to 2023,460.59
Magali,Walker,AB102841C,2022 to 2023,893.66
Everette,Beer,AB161146C,2022 to 2023,541.83
Alvis,Kuphal,AB118724C,2022 to 2023,589.93
Albert,Daniel,AB331286C,2022 to 2023,583.32
Vincenza,Smitham,AB535562C,2022 to 2023,792.27
Suzanne,Koelpin,AB337147C,2022 to 2023,442.23
Desmond,Jewess,AB104043C,2022 to 2023,863.58
Taurean,Marks,AB458594C,2022 to 2023,234.16
Moses,Lowe,AB174852C,2022 to 2023,275.72
Winfield,VonRueden,AB620779C,2022 to 2023,512.69
Amiya,Feeney,AB713138C,2022 to 2023,559.90
Leon,Crooks,AB640139C,2022 to 2023,780.22
Betsy,Gutmann,AB953476C,2022 to 2023,131.90
Tyra,Rolfson,AB314720C,2022 to 2023,598.66
Rylan,Bergstrom,AB738503C,2022 to 2023,993.10
Demarcus,Fahey,AB992274C,2022 to 2023,26.23
Kari,Robel,AB620570C,2022 to 2023,437.20
Marlen,Becker,AB636963C,2022 to 2023,344.61
Irwin,Lind,AB299414C,2022 to 2023,604.51
Kaci,Terry,AB373617C,2022 to 2023,587.10
Sage,Weissnat,AB630770C,2022 to 2023,471.57
Newton,Grady,AB878723C,2022 to 2023,647.13
Vivienne,Hand,AB869941C,2022 to 2023,566.90
Colt,Schaden,AB353469C,2022 to 2023,687.99
Ella,Hackett,AB381879C,2022 to 2023,341.73
Lorine,Jast,AB894951C,2022 to 2023,815.54
Monique,Schamberger,AB958725C,2022 to 2023,136.32
Dessie,Bode,AB571846C,2022 to 2023,77.91
Isom,Langosh,AB108212C,2022 to 2023,67.27
Beaulah,Stracke,AB157014C,2022 to 2023,795.95
Kariane,Osinski,AB662846C,2022 to 2023,442.48
Jayson,Hoppe,AB775286C,2022 to 2023,508.35
Luella,Watsica,AB480654C,2022 to 2023,132.49
Dayton,Moen,AB220252C,2022 to 2023,909.93
Abraham,Kautzer,AB249024C,2022 to 2023,935.41
Antwan,Labadie,AB208000C,2022 to 2023,336.98
Deontae,O'Connell,AB758463C,2022 to 2023,870.99
Mia,Medhurst,AB520961C,2022 to 2023,33.78
Jennings,Bailey,AB229516C,2022 to 2023,789.36
Norbert,Denesik,AB487177C,2022 to 2023,443.58
Cyrus,Denesik,AB507513C,2022 to 2023,539.94
Keyon,Blick,AB633473C,2022 to 2023,993.72
Salma,Collins,AB596693C,2022 to 2023,96.40
Jovani,Veum,AB876259C,2022 to 2023,25.03
Vanessa,Medhurst,AB722960C,2022 to 2023,639.89
Carlie,Conn,AB684093C,2022 to 2023,806.91
Buster,Mosciski,AB415581C,2022 to 2023,822.65
Eulalia,Cronin,AB625593C,2022 to 2023,750.53
Timothy,Hickle,AB293334C,2022 to 2023,949.88
Johanna,Nikolaus,AB377116C,2022 to 2023,759.42
Ervin,Beatty,AB594254C,2022 to 2023,367.11
Ericka,Reichert,AB820622C,2022 to 2023,531.26
Clara,Maggio,AB914882C,2022 to 2023,190.00
Frank,Terry,AB237329C,2022 to 2023,162.51
Shaun,Wiegand,AB460913C,2022 to 2023,202.69
Hank,Johns,AB575133C,2022 to 2023,752.28
Gordon,Hodkiewicz,AB906811C,2022 to 2023,706.60
America,Little,AB905381C,2022 to 2023,816.03
Martin,Stark,AB184070C,2022 to 2023,445.47
Monica,Witting,AB634519C,2022 to 2023,90.69
Norval,Osinski,AB856628C,2022 to 2023,175.38
Will,Herzog,AB862570C,2022 to 2023,224.11
Eugenia,Abbott,AB407599C,2022 to 2023,966.86
Dianna,Willms,AB621707C,2022 to 2023,760.54
Dean,Runolfsdottir,AB871737C,2022 to 2023,478.66
Rudolph,Ullrich,AB923549C,2022 to 2023,28.91
Jedidiah,Moen,AB315171C,2022 to 2023,426.26
Rowan,Schamberger,AB541542C,2022 to 2023,390.70
Rodger,Bernier,AB665134C,2022 to 2023,92.49
Cleta,Hackett,AB685878C,2022 to 2023,178.41
Sigrid,Schroeder,AB281773C,2022 to 2023,754.46
Gwendolyn,Fisher,AB699337C,2022 to 2023,563.49
Kylie,Crist,AB451620C,2022 to 2023,250.60
Dawson,Mante,AB451109C,2022 to 2023,254.54
Salma,Predovic,AB721622C,2022 to 2023,400.58
Nayeli,Sanford,AB103427C,2022 to 2023,483.36
Kay,Robel,AB586543C,2022 to 2023,387.60
Lavada,Larson,AB123421C,2022 to 2023,658.09
Theodora,Bode,AB991297C,2022 to 2023,708.20
Madilyn,Witting,AB466320C,2022 to 2023,622.78
Andreanne,Schroeder,AB670723C,2022 to 2023,605.61
Adonis,VonRueden,AB646770C,2022 to 2023,251.05
Marcos,Hagenes,AB209129C,2022 to 2023,116.74
Tyshawn,Marvin,AB547005C,2022 to 2023,206.98
Devyn,Effertz,AB566832C,2022 to 2023,437.04
Vicente,Hartmann,AB624179C,2022 to 2023,359.69
Herbert,Daniel,AB372952C,2022 to 2023,838.28
Caesar,Ledner,AB177127C,2022 to 2023,834.45
June,Nader,AB689248C,2022 to 2023,954.73
Karen,Will,AB169855C,2022 to 2023,334.36
Robert,Klocko,AB611303C,2022 to 2023,315.42
Sincere,O'Hara,AB577950C,2022 to 2023,810.43
Jacques,Borer,AB916923C,2022 to 2023,995.57
Niko,Franecki,AB169458C,2022 to 2023,302.33
Manuel,Schaefer,AB858449C,2022 to 2023,63.18
Gina,Roob,AB525641C,2022 to 2023,99.27
Al,Stamm,AB929984C,2022 to 2023,774.64
Cynthia,Dooley,AB150701C,2022 to 2023,416.14
Chelsea,Schneider,AB455026C,2022 to 2023,975.82
Tracey,Kutch,AB877628C,2022 to 2023,202.85
Jaeden,Waters,AB948273C,2022 to 2023,691.52
Zora,Krajcik,AB769801C,2022 to 2023,202.73
Daija,Stanton,AB527244C,2022 to 2023,56.11
