First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Frederick,Ankunding,AB306038C,Enhanced protection,49264473,478.34,2022-11-01
Timmy,Senger,AB747509C,Individual protection 2016,34220416,7.31,2022-11-08
Jacey,Jerde,AB623589C,Individual protection 2016,60185805,186.68,2022-11-06
Aylin,Gislason,AB275274C,Fixed protection,65823348,605.68,2022-11-03
Bernita,Turcotte,AB702429C,Fixed protection,69874854,795.41,2022-11-01
Lucie,Cruickshank,AB241939C,Enhanced lifetime allowance,15810631,71.10,2022-11-03
Raoul,Gottlieb,AB876375C,Enhanced protection,55636186,400.06,2022-11-03
Ruthe,Heathcote,AB837183C,Fixed protection 2016,54362899,852.04,2022-11-02
Asa,Ziemann,AB543850C,Individual protection 2016,94372572,657.45,2022-11-03
Dusty,Rowe,AB290761C,Fixed protection 2016,38708517,497.16,2022-11-02
Jeffry,Schneider,AB377119C,Fixed protection 2016,44910891,933.44,2022-11-07
Kristy,Kozey,AB759717C,Individual protection 2016,89541556,820.99,2022-11-07
Janessa,Dietrich,AB426914C,Enhanced protection,68504963,149.67,2022-11-02
Elda,Boyle,AB727994C,Individual protection 2014,27969997,902.33,2022-11-06
Jermey,Murphy,AB712807C,Fixed protection 2014,12207093,879.38,2022-11-04
Anahi,Jaskolski,AB431870C,Enhanced lifetime allowance,33937351,855.52,2022-11-08
Jane,Wilderman,AB198460C,Individual protection 2014,24355558,669.66,2022-11-05
Hillary,Monahan,AB879963C,Individual protection 2014,22554382,241.12,2022-11-08
Lizzie,Weimann,AB419991C,Fixed protection 2014,48160788,354.74,2022-11-08
Octavia,Toy,AB246957C,Fixed protection 2016,38451853,801.06,2022-11-01
Aileen,Pfannerstill,AB197844C,Enhanced protection,33373924,522.26,2022-11-06
Lazaro,Gorczany,AB371287C,Individual protection 2016,57333545,979.70,2022-11-05
Cassandra,Pfannerstill,AB888624C,Fixed protection 2014,99912811,581.95,2022-11-05
Lauren,Konopelski,AB659446C,Fixed protection 2014,55044824,293.02,2022-11-05
Brent,Spencer,AB950576C,Fixed protection 2016,82968210,235.78,2022-11-06
Rosalia,Tillman,AB308776C,Individual protection 2014,80251196,490.66,2022-11-03
Ernestine,Hudson,AB731152C,Enhanced lifetime allowance,49683168,524.23,2022-11-02
Eriberto,Wisozk,AB759633C,Fixed protection 2014,90208330,438.39,2022-11-07
Jarvis,Friesen,AB615728C,Enhanced lifetime allowance,59077230,80.17,2022-11-03
Elta,Zieme,AB496478C,Individual protection 2014,31182380,81.96,2022-11-02
Alvena,Bins,AB776174C,Individual protection 2016,11843852,642.39,2022-11-03
Astrid,Gottlieb,AB838993C,Fixed protection 2014,33603968,236.74,2022-11-08
Taya,Buckridge,AB541113C,Enhanced lifetime allowance,48749284,836.52,2022-11-02
Sallie,Koch,AB976918C,Fixed protection,27414802,695.17,2022-11-01
Eleazar,Klocko,AB992800C,Individual protection 2016,46419452,133.00,2022-11-06
Roma,Bernhard,AB344158C,Individual protection 2016,86191370,711.20,2022-11-01
Gregg,Von,AB945201C,Fixed protection,16319994,903.69,2022-11-06
Garnet,Larkin,AB495565C,Individual protection 2016,22330994,449.83,2022-11-04
Dovie,Baumbach,AB534291C,Enhanced lifetime allowance,91002154,250.33,2022-11-06
Moises,Osinski,AB903897C,Fixed protection 2016,12557522,743.65,2022-11-08
Gudrun,Pollich,AB969371C,Fixed protection,98448155,554.78,2022-11-05
Glenda,Schultz,AB313015C,Enhanced protection,39237290,623.14,2022-11-07
Pete,DuBuque,AB162898C,Enhanced lifetime allowance,17016903,254.29,2022-11-06
Preston,Weber,AB356197C,Fixed protection 2014,45304811,998.12,2022-11-03
Lesley,Dibbert,AB335006C,Fixed protection,54802976,97.17,2022-11-05
Odessa,Swift,AB447637C,Enhanced lifetime allowance,91041244,306.96,2022-11-06
Titus,Auer,AB326465C,Fixed protection 2014,80589728,259.89,2022-11-04
Alexis,Weber,AB418215C,Enhanced lifetime allowance,48813897,822.95,2022-11-04
Evelyn,Walker,AB298490C,Fixed protection,83649186,950.16,2022-11-06
Wilford,Kohler,AB194166C,Fixed protection 2014,57641667,134.47,2022-11-06
Maximillia,Johns,AB213942C,Fixed protection,83376945,45.74,2022-11-04
Jairo,Rempel,AB474043C,Fixed protection 2014,63512011,868.90,2022-11-02
Hobart,Friesen,AB597976C,Fixed protection,16138806,456.33,2022-11-01
Lola,O'Reilly,AB273298C,Fixed protection 2014,50351893,589.98,2022-11-05
Santos,Fisher,AB364436C,Enhanced protection,92161998,77.34,2022-11-04
Madison,Runolfsdottir,AB118158C,Fixed protection 2014,40442609,633.18,2022-11-02
Tremayne,Macejkovic,AB382008C,Fixed protection,88327869,368.39,2022-11-04
Julien,Koch,AB102662C,Fixed protection,48187877,525.85,2022-11-01
Katlyn,Skiles,AB696078C,Enhanced lifetime allowance,24935961,857.71,2022-11-07
Brionna,Ziemann,AB914713C,Fixed protection 2016,26850037,895.00,2022-11-02
Ashly,Lebsack,AB107164C,Individual protection 2016,41007818,755.97,2022-11-04
Presley,Emmerich,AB374243C,Fixed protection,78107550,9.61,2022-11-04
Justen,Paucek,AB354686C,Individual protection 2016,45568732,370.39,2022-11-08
Mark,Cremin,AB578226C,Enhanced protection,84716731,537.23,2022-11-06
Armando,Bahringer,AB838219C,Individual protection 2016,25872667,672.41,2022-11-01
Walker,Kuhn,AB666329C,Fixed protection,41862629,702.42,2022-11-01
Kenyon,Veum,AB289906C,Enhanced lifetime allowance,38732726,415.98,2022-11-04
Bertha,Christiansen,AB779404C,Individual protection 2014,36410118,417.86,2022-11-04
Filiberto,Witting,AB765883C,Fixed protection 2014,90929258,169.55,2022-11-01
Kenyatta,Steuber,AB967207C,Enhanced protection,85470993,822.51,2022-11-02
Brown,Reinger,AB159454C,Enhanced protection,78134841,772.83,2022-11-03
Karianne,Howell,AB607372C,Fixed protection 2014,56039270,812.52,2022-11-05
Everett,Cummings,AB594119C,Individual protection 2016,53709748,832.72,2022-11-04
Rhett,Ritchie,AB110623C,Enhanced lifetime allowance,18766213,930.99,2022-11-04
Madge,Bednar,AB494132C,Enhanced protection,25212182,418.65,2022-11-05
Emmanuel,Armstrong,AB857325C,Fixed protection 2014,67269311,949.53,2022-11-04
Jeromy,Hilll,AB595713C,Enhanced protection,97850036,667.03,2022-11-05
Trent,Breitenberg,AB615157C,Fixed protection 2016,11755756,971.12,2022-11-06
Cruz,Moen,AB561585C,Enhanced lifetime allowance,86382492,887.68,2022-11-01
Pearlie,Koelpin,AB365009C,Fixed protection 2016,45222939,785.95,2022-11-06
Roman,Flatley,AB294467C,Individual protection 2014,10438709,197.87,2022-11-01
Martine,Fay,AB863868C,Fixed protection 2016,68163758,119.14,2022-11-08
Anya,Purdy,AB478788C,Fixed protection 2014,68840165,78.50,2022-11-04
Valentine,Spinka,AB177947C,Enhanced lifetime allowance,34016493,713.17,2022-11-04
Giuseppe,Kemmer,AB811945C,Fixed protection 2016,76253615,300.95,2022-11-01
Agnes,Maggio,AB504298C,Enhanced lifetime allowance,19261160,695.30,2022-11-03
Lawson,Hansen,AB794733C,Fixed protection 2016,80564593,535.62,2022-11-03
Andre,Hudson,AB860437C,Enhanced lifetime allowance,34760005,800.34,2022-11-08
Marcia,Stark,AB773923C,Enhanced protection,28637566,671.70,2022-11-01
Sigmund,Nikolaus,AB695214C,Individual protection 2014,79779285,709.27,2022-11-04
Lowell,Stoltenberg,AB619169C,Fixed protection,19918371,635.14,2022-11-08
Michele,Spencer,AB684761C,Fixed protection 2014,57962159,113.12,2022-11-01
Mabel,Stracke,AB514845C,Individual protection 2014,97105881,160.91,2022-11-07
Anissa,Rempel,AB772813C,Fixed protection,93839323,957.45,2022-11-02
Luis,Brown,AB855122C,Individual protection 2016,28477969,725.55,2022-11-02
Lurline,West,AB468304C,Fixed protection 2016,34727873,69.05,2022-11-02
Richard,Schmidt,AB765971C,Enhanced lifetime allowance,29772341,39.12,2022-11-07
Lewis,Bode,AB354511C,Enhanced protection,98147748,786.25,2022-11-07
Destini,Bins,AB377579C,Fixed protection 2016,34015850,867.59,2022-11-03
Narciso,Wuckert,AB867313C,Fixed protection 2014,75495788,112.11,2022-11-07
Donald,Stanton,AB252836C,Enhanced lifetime allowance,83966513,892.08,2022-11-07
Abigail,Thiel,AB435886C,Individual protection 2016,81017022,797.30,2022-11-03
Kamille,Raynor,AB149961C,Individual protection 2014,28024547,170.27,2022-11-05
Jackson,Jakubowski,AB662348C,Individual protection 2016,48989858,945.10,2022-11-02
Tristian,Okuneva,AB624539C,Enhanced lifetime allowance,24874175,167.26,2022-11-04
Webster,O'Hara,AB357473C,Fixed protection 2014,55044683,338.49,2022-11-07
Joey,Boyer,AB313953C,Enhanced lifetime allowance,90487887,389.95,2022-11-05
Laila,Kutch,AB344074C,Fixed protection,55915486,610.71,2022-11-02
Jerel,Klocko,AB516229C,Individual protection 2016,45775081,337.49,2022-11-02
Dewitt,Harber,AB326569C,Fixed protection,58809846,878.97,2022-11-02
Luella,Boyle,AB140805C,Fixed protection,28846410,630.17,2022-11-08
Ray,Durgan,AB792211C,Fixed protection 2014,54575249,296.31,2022-11-07
Alec,Padberg,AB425838C,Individual protection 2014,31109670,483.64,2022-11-01
Timothy,Rau,AB491981C,Enhanced lifetime allowance,72885641,67.64,2022-11-07
Domingo,Zulauf,AB230696C,Fixed protection,45067546,503.04,2022-11-01
Berenice,Heidenreich,AB754112C,Individual protection 2014,69948371,382.11,2022-11-03
Lemuel,Dietrich,AB965163C,Individual protection 2016,58710691,699.91,2022-11-01
Winnifred,Crooks,AB353799C,Individual protection 2016,53165925,121.82,2022-11-02
Kailyn,Herman,AB792303C,Individual protection 2014,92713597,777.82,2022-11-04
Melissa,Russel,AB297583C,Enhanced protection,97994537,406.21,2022-11-04
Rosie,Funk,AB963433C,Enhanced protection,41829780,839.54,2022-11-02
Keven,Schuster,AB622198C,Enhanced protection,44720246,788.83,2022-11-08
Scotty,Daniel,AB384131C,Fixed protection 2014,67519730,111.09,2022-11-03
Rosetta,Treutel,AB622307C,Fixed protection 2014,25026841,131.21,2022-11-02
Breanna,Shields,AB414596C,Individual protection 2016,37390795,985.73,2022-11-06
Celia,Leannon,AB828357C,Fixed protection 2014,80274098,69.79,2022-11-08
Itzel,Littel,AB208327C,Fixed protection 2016,87246329,890.51,2022-11-06
Randy,Pfannerstill,AB544424C,Individual protection 2014,78342220,893.47,2022-11-02
Gayle,Abshire,AB139199C,Enhanced protection,99485212,839.53,2022-11-04
Mohammad,Bauch,AB116926C,Fixed protection 2014,41489970,627.68,2022-11-06
Kelton,Gulgowski,AB842211C,Individual protection 2014,26956970,621.73,2022-11-01
Jarod,Grimes,AB845586C,Fixed protection 2014,62318488,110.31,2022-11-02
Fiona,Considine,AB225340C,Individual protection 2014,41592941,11.03,2022-11-02
Laverna,Lueilwitz,AB880365C,Fixed protection 2016,34571348,637.59,2022-11-08
Kathryne,Wilderman,AB285773C,Enhanced protection,45932148,167.01,2022-11-04
Stephen,Ebert,AB952417C,Individual protection 2016,60855400,577.37,2022-11-03
Brook,Jacobi,AB637720C,Enhanced protection,85403265,612.74,2022-11-05
Lavon,O'Kon,AB319891C,Individual protection 2014,15633197,89.72,2022-11-05
Thurman,Vandervort,AB937724C,Enhanced protection,38058576,593.80,2022-11-06
Oswaldo,Hessel,AB654122C,Fixed protection,56970550,475.55,2022-11-02
Gwen,Reilly,AB753295C,Enhanced protection,89438201,228.70,2022-11-07
Devonte,Macejkovic,AB352293C,Fixed protection 2016,28850455,281.40,2022-11-08
Toy,Miller,AB587254C,Fixed protection 2014,40722382,348.53,2022-11-06
Jarret,Wiza,AB233689C,Fixed protection 2016,16276130,373.87,2022-11-02
Cale,Little,AB864380C,Fixed protection 2016,22167870,586.83,2022-11-04
Frederique,Murazik,AB675370C,Individual protection 2014,15632351,764.83,2022-11-02
Frida,O'Hara,AB425347C,Fixed protection 2016,43809174,711.79,2022-11-05
Reanna,Thiel,AB219929C,Fixed protection,12294314,755.16,2022-11-08
Brown,Krajcik,AB630636C,Enhanced protection,39550701,618.68,2022-11-06
Keira,Feil,AB529770C,Individual protection 2014,27629858,700.41,2022-11-03
Katelyn,O'Kon,AB550890C,Enhanced protection,94386120,200.52,2022-11-07
Dena,Gutkowski,AB425480C,Enhanced lifetime allowance,34351260,511.26,2022-11-03
Larue,Willms,AB300439C,Individual protection 2016,17475103,291.10,2022-11-05
Zoe,Cummings,AB855692C,Fixed protection 2016,89090035,289.52,2022-11-07
Anjali,Robel,AB386863C,Individual protection 2016,18627078,617.70,2022-11-03
Kennith,Huel,AB869419C,Enhanced protection,13590997,105.17,2022-11-03
Catalina,Morissette,AB236426C,Fixed protection 2014,48664616,216.25,2022-11-05
Barry,Hilll,AB802769C,Individual protection 2016,75185148,279.47,2022-11-06
Daphnee,Ziemann,AB708421C,Fixed protection 2016,93411820,534.53,2022-11-08
Noah,Eichmann,AB745518C,Enhanced lifetime allowance,85034228,662.05,2022-11-06
Camron,Bernier,AB516830C,Enhanced protection,37020292,560.07,2022-11-03
Kayley,Weber,AB335818C,Individual protection 2014,43909610,574.41,2022-11-04
Casper,Feil,AB496167C,Fixed protection 2016,50455154,25.53,2022-11-06
Alexanne,Toy,AB968456C,Individual protection 2016,16500970,21.99,2022-11-07
Marianne,Cassin,AB447528C,Individual protection 2016,84842077,359.52,2022-11-08
Ashley,Metz,AB140522C,Individual protection 2016,16759874,629.69,2022-11-07
Noble,Bergstrom,AB264392C,Fixed protection 2014,67389627,190.48,2022-11-07
Faye,Purdy,AB959356C,Fixed protection,23310860,230.26,2022-11-04
Oren,Crooks,AB681167C,Enhanced lifetime allowance,46695439,954.31,2022-11-01
Zakary,Bergstrom,AB790799C,Enhanced protection,38581453,983.43,2022-11-03
Ignatius,West,AB995264C,Fixed protection 2014,99208088,925.21,2022-11-02
Meredith,Rogahn,AB484440C,Enhanced lifetime allowance,98481576,705.26,2022-11-04
Jovany,Towne,AB112290C,Enhanced protection,75086304,933.06,2022-11-08
Alphonso,McDermott,AB846881C,Individual protection 2014,73392458,389.79,2022-11-06
Shane,Bartell,AB520390C,Fixed protection 2014,15638648,631.30,2022-11-02
Mac,Durgan,AB817309C,Enhanced protection,59918670,816.24,2022-11-08
Miller,Harvey,AB689762C,Fixed protection,30677978,558.10,2022-11-01
Hershel,Denesik,AB207114C,Fixed protection,35227103,689.51,2022-11-01
Tomas,Miller,AB808466C,Fixed protection,33084697,685.52,2022-11-06
Dagmar,Windler,AB757758C,Individual protection 2016,20007356,119.40,2022-11-08
Alfredo,Wiza,AB406826C,Individual protection 2014,97727395,34.64,2022-11-06
Jamel,Stokes,AB918485C,Individual protection 2016,18231041,355.35,2022-11-03
Hertha,Stehr,AB690098C,Individual protection 2016,87716886,246.91,2022-11-05
Abigail,Lang,AB509065C,Fixed protection 2016,23233743,853.71,2022-11-06
Reilly,Runte,AB442122C,Fixed protection 2016,90790671,278.06,2022-11-05
Conner,Towne,AB696513C,Fixed protection,28913981,125.91,2022-11-02
Kasandra,Kunde,AB833086C,Fixed protection 2016,96549453,224.61,2022-11-01
Ebba,Howe,AB969461C,Individual protection 2016,96387044,189.53,2022-11-07
Elmer,Dicki,AB609891C,Enhanced protection,89087484,832.62,2022-11-01
Una,Murray,AB933838C,Fixed protection,44105910,300.21,2022-11-08
Elna,Okuneva,AB406380C,Enhanced protection,94946391,878.25,2022-11-03
Lilyan,McClure,AB396813C,Fixed protection 2014,34636058,84.29,2022-11-05
Josh,Pollich,AB939528C,Enhanced lifetime allowance,99884245,936.73,2022-11-02
Sylvan,Dooley,AB552681C,Individual protection 2016,76572465,717.09,2022-11-05
Floy,Schamberger,AB553174C,Enhanced lifetime allowance,26759371,662.04,2022-11-05
Alba,Wisozk,AB392029C,Enhanced lifetime allowance,38597900,536.82,2022-11-01
Alberta,McCullough,AB839867C,Fixed protection,92073197,756.28,2022-11-06
Brain,Schoen,AB782281C,Fixed protection 2014,53745638,491.30,2022-11-01
Maureen,Considine,AB571904C,Enhanced lifetime allowance,83170060,722.80,2022-11-07
Sigurd,Ondricka,AB906020C,Individual protection 2014,11403273,485.92,2022-11-01
Jessika,Sauer,AB543909C,Enhanced lifetime allowance,78887628,169.99,2022-11-01
Vicente,Baumbach,AB768811C,Fixed protection 2014,39253889,274.10,2022-11-05
Petra,Hagenes,AB313616C,Enhanced protection,62541013,751.53,2022-11-05
Benton,Hagenes,AB517466C,Enhanced lifetime allowance,25285847,748.65,2022-11-07
Kacey,Zulauf,AB953868C,Fixed protection 2014,72977327,922.95,2022-11-04
Dayne,Ziemann,AB572938C,Enhanced protection,96407470,599.84,2022-11-04
Genesis,Schoen,AB680345C,Enhanced protection,28901987,351.80,2022-11-02
Macy,Stoltenberg,AB414280C,Individual protection 2014,78188090,609.50,2022-11-07
Karolann,Herzog,AB376531C,Fixed protection 2016,22600128,30.10,2022-11-05
Lysanne,Schaden,AB743392C,Fixed protection 2014,60424077,365.13,2022-11-08
Felipe,Davis,AB921591C,Fixed protection 2014,33397225,817.64,2022-11-07
Florence,West,AB310533C,Fixed protection 2016,37440564,162.63,2022-11-05
Garfield,Gerhold,AB186013C,Fixed protection 2016,74956921,209.93,2022-11-06
Stephanie,Fadel,AB390461C,Individual protection 2016,52911642,54.93,2022-11-02
Zita,Lynch,AB849494C,Fixed protection 2016,32519914,222.95,2022-11-02
Misty,Lueilwitz,AB302447C,Individual protection 2014,95393015,72.74,2022-11-02
Rigoberto,McGlynn,AB167803C,Fixed protection 2014,21878189,289.36,2022-11-03
Zackery,Hamill,AB592767C,Fixed protection,14165497,535.95,2022-11-03
Billie,Stoltenberg,AB227640C,Enhanced lifetime allowance,46353373,936.93,2022-11-06
Cornelius,Fisher,AB624533C,Enhanced protection,29826363,684.74,2022-11-01
Bailey,Brown,AB439206C,Fixed protection 2016,19942221,203.40,2022-11-04
Krystal,Murazik,AB485421C,Fixed protection 2016,41289930,140.42,2022-11-02
Deon,Marvin,AB957102C,Fixed protection,89835965,992.64,2022-11-01
Moses,Dooley,AB419553C,Fixed protection 2014,39386735,506.56,2022-11-06
Alejandra,Pacocha,AB757796C,Individual protection 2016,99856615,234.10,2022-11-08
Brennon,Abshire,AB130214C,Individual protection 2016,65339351,564.63,2022-11-08
Alize,Erdman,AB733900C,Enhanced lifetime allowance,47769857,613.37,2022-11-05
Otha,Hansen,AB197084C,Individual protection 2016,22914783,375.65,2022-11-04
Leilani,VonRueden,AB722483C,Individual protection 2014,50562711,769.66,2022-11-03
Deondre,Hagenes,AB765765C,Fixed protection,69246892,541.46,2022-11-05
Bennett,Jacobson,AB509310C,Individual protection 2014,72466541,415.28,2022-11-04
Della,Yost,AB849296C,Fixed protection 2016,67875329,272.87,2022-11-06
Abraham,Bernhard,AB181900C,Enhanced protection,57245884,856.47,2022-11-02
Daphnee,Hilpert,AB944576C,Fixed protection,83455897,675.30,2022-11-08
Aliya,Gaylord,AB365040C,Individual protection 2014,20506936,757.52,2022-11-03
Oda,Macejkovic,AB650746C,Fixed protection,57293057,282.38,2022-11-05
Geoffrey,Christiansen,AB760310C,Individual protection 2014,94096969,368.83,2022-11-07
Estrella,Beier,AB930253C,Enhanced protection,48264095,697.61,2022-11-06
Ephraim,Marquardt,AB806414C,Individual protection 2016,64438116,443.50,2022-11-01
Kayley,Altenwerth,AB763976C,Fixed protection,29797002,724.96,2022-11-02
Alayna,Walker,AB973760C,Fixed protection,81765153,807.61,2022-11-07
Haven,Hoppe,AB553847C,Enhanced protection,52818261,950.16,2022-11-05
Albertha,Kemmer,AB838989C,Fixed protection 2016,41876050,149.15,2022-11-03
Cathrine,Barrows,AB540840C,Fixed protection 2014,98013372,521.19,2022-11-03
Lysanne,Grimes,AB182772C,Fixed protection 2014,20674479,538.52,2022-11-04
Cleve,Turcotte,AB230374C,Enhanced lifetime allowance,18602431,262.07,2022-11-04
Libby,Beahan,AB223096C,Fixed protection 2016,69851522,451.01,2022-11-05
Phoebe,D'Amore,AB787546C,Fixed protection,88146843,68.42,2022-11-05
Oren,Nicolas,AB804423C,Individual protection 2016,94529675,615.41,2022-11-08
Kelli,Nicolas,AB225128C,Fixed protection 2014,84050396,358.57,2022-11-03
Elton,Zulauf,AB813223C,Fixed protection,32244972,631.34,2022-11-01
Deontae,Stokes,AB799063C,Enhanced lifetime allowance,16749782,504.77,2022-11-06
Luigi,Brakus,AB529820C,Fixed protection,21870606,514.36,2022-11-07
Lonzo,Osinski,AB728153C,Fixed protection 2014,61803544,686.60,2022-11-08
Jamey,Torphy,AB241783C,Fixed protection 2014,37058166,620.93,2022-11-07
Barrett,Erdman,AB384984C,Enhanced lifetime allowance,24922445,155.22,2022-11-04
Solon,Bode,AB402091C,Fixed protection 2016,48303770,149.99,2022-11-08
Katharina,Beier,AB112177C,Individual protection 2016,94731109,289.59,2022-11-04
Branson,Osinski,AB115764C,Fixed protection 2016,35336387,416.50,2022-11-05
Ken,Kunde,AB258132C,Enhanced protection,33472706,67.27,2022-11-07
Carlos,Jenkins,AB316218C,Enhanced lifetime allowance,82930912,569.67,2022-11-05
Creola,Powlowski,AB183715C,Individual protection 2016,69518132,563.30,2022-11-07
Malcolm,Lemke,AB443897C,Enhanced protection,62860667,190.44,2022-11-01
Lilliana,Weissnat,AB471418C,Individual protection 2016,74291933,936.30,2022-11-04
Constance,Ledner,AB646232C,Individual protection 2014,84777059,863.24,2022-11-02
Mark,Wuckert,AB170375C,Fixed protection 2016,42498167,542.27,2022-11-01
Jazmyne,Monahan,AB886092C,Fixed protection,41578941,909.30,2022-11-04
Bettie,Kovacek,AB881377C,Enhanced lifetime allowance,10048220,502.05,2022-11-01
Sonya,Considine,AB902606C,Individual protection 2014,79813769,777.49,2022-11-08
Rae,Block,AB867084C,Individual protection 2014,13416135,363.32,2022-11-07
Gabrielle,Orn,AB711440C,Individual protection 2016,41677360,89.43,2022-11-07
Helene,Franecki,AB904046C,Fixed protection 2014,51289502,302.77,2022-11-01
Holden,Torp,AB525487C,Fixed protection 2014,54216109,1.34,2022-11-03
Antoinette,Beatty,AB777703C,Fixed protection 2016,55608771,23.22,2022-11-07
Therese,Glover,AB115346C,Enhanced protection,21193982,980.07,2022-11-04
Federico,Jacobs,AB389646C,Enhanced lifetime allowance,52197538,437.52,2022-11-07
Kirstin,Collins,AB634243C,Fixed protection 2016,48902359,409.51,2022-11-03
Rico,Fritsch,AB806726C,Enhanced lifetime allowance,14727979,379.59,2022-11-04
Kaelyn,O'Keefe,AB791760C,Individual protection 2014,45536972,487.30,2022-11-01
Prince,Greenfelder,AB406772C,Enhanced lifetime allowance,88846542,25.91,2022-11-04
Hillary,Hirthe,AB477305C,Enhanced lifetime allowance,75099063,412.54,2022-11-01
Stanford,Hills,AB762371C,Enhanced protection,39420138,908.89,2022-11-08
Keara,Keebler,AB788138C,Fixed protection,27951673,519.42,2022-11-08
Claudine,Mosciski,AB674914C,Fixed protection,66217125,788.73,2022-11-01
Tomasa,Ortiz,AB597937C,Fixed protection 2014,83421649,45.76,2022-11-01
Romaine,Nienow,AB610255C,Enhanced lifetime allowance,63080586,725.21,2022-11-02
Candelario,Stanton,AB328512C,Fixed protection 2016,12429493,634.54,2022-11-05
Rosa,Mann,AB152110C,Fixed protection,86106064,346.01,2022-11-06
Vella,Dietrich,AB311193C,Fixed protection 2014,65720632,528.18,2022-11-07
Nicholas,Schneider,AB884622C,Fixed protection 2016,82066649,984.52,2022-11-05
Destiny,Goyette,AB721489C,Enhanced lifetime allowance,11615032,595.80,2022-11-04
Arnoldo,Jacobs,AB948991C,Individual protection 2016,97977907,276.78,2022-11-04
Stacey,Pagac,AB628444C,Enhanced lifetime allowance,16103423,203.43,2022-11-03
Cletus,Considine,AB178481C,Fixed protection 2014,88912248,594.04,2022-11-08
Joannie,Fisher,AB595520C,Individual protection 2014,48605473,820.42,2022-11-04
Trever,Lubowitz,AB897021C,Individual protection 2014,87662494,82.26,2022-11-02
Maybelle,Ratke,AB562281C,Fixed protection 2016,62646025,45.45,2022-11-03
Adrain,Simonis,AB725851C,Fixed protection,72698900,382.67,2022-11-01
Keyon,Denesik,AB848937C,Fixed protection 2016,44747769,431.37,2022-11-07
Armani,Lind,AB861900C,Individual protection 2014,90173435,298.71,2022-11-08
Stevie,Simonis,AB341246C,Enhanced lifetime allowance,30738040,226.33,2022-11-02
Creola,Hodkiewicz,AB579299C,Enhanced lifetime allowance,32765204,574.36,2022-11-08
August,Wunsch,AB478184C,Fixed protection 2014,27264219,789.40,2022-11-01
Ferne,Toy,AB116894C,Individual protection 2016,65854953,543.40,2022-11-04
Jeffrey,Mertz,AB372589C,Fixed protection,66248189,438.34,2022-11-08
Sandy,Schamberger,AB543877C,Fixed protection 2016,90780193,689.67,2022-11-07
Alexandrine,Rutherford,AB119685C,Individual protection 2016,48546148,295.63,2022-11-01
Brandy,Hagenes,AB379910C,Enhanced protection,24674903,148.50,2022-11-03
Michele,Oberbrunner,AB603115C,Individual protection 2014,45870361,31.00,2022-11-03
Robin,Hackett,AB491865C,Individual protection 2016,88066420,935.14,2022-11-01
Brandt,Abbott,AB554475C,Individual protection 2014,88899535,725.35,2022-11-08
Harley,Jaskolski,AB486131C,Enhanced protection,56379180,803.00,2022-11-06
Vernie,Beer,AB190473C,Enhanced protection,53013193,788.02,2022-11-01
Lura,Goodwin,AB113103C,Individual protection 2016,92151664,720.77,2022-11-02
Deanna,Dickens,AB328438C,Individual protection 2016,65172727,967.26,2022-11-07
Eliezer,Herzog,AB264043C,Fixed protection,13889413,514.82,2022-11-05
Assunta,Zboncak,AB365253C,Individual protection 2014,70962442,953.33,2022-11-01
Elta,Turner,AB827414C,Fixed protection 2016,13975336,112.62,2022-11-05
Lonny,Rice,AB350109C,Fixed protection,36901542,318.70,2022-11-06
Hershel,O'Hara,AB139318C,Fixed protection,88481926,745.65,2022-11-01
Tyshawn,Rowe,AB897517C,Fixed protection 2016,50861116,298.28,2022-11-06
Derek,O'Keefe,AB854684C,Individual protection 2014,36572755,307.52,2022-11-06
Walter,Von,AB163544C,Enhanced protection,94505181,166.21,2022-11-03
Waino,Gislason,AB805292C,Individual protection 2016,30825959,412.72,2022-11-02
Shanon,Herman,AB668439C,Fixed protection 2014,79957249,636.07,2022-11-07
Sierra,Keeling,AB601989C,Individual protection 2016,73059678,82.70,2022-11-02
Magdalena,Hills,AB220881C,Fixed protection,56185786,141.02,2022-11-07
Ida,McLaughlin,AB770492C,Enhanced protection,10962518,721.86,2022-11-08
Michel,Robel,AB400184C,Fixed protection 2016,43258822,443.59,2022-11-08
Crystel,Ortiz,AB830579C,Fixed protection,58202447,482.37,2022-11-07
Arnoldo,Lebsack,AB956073C,Fixed protection 2016,67830380,504.07,2022-11-07
Skyla,Shields,AB537561C,Fixed protection 2014,99197762,245.46,2022-11-05
Lolita,Bradtke,AB829712C,Fixed protection,42214455,293.43,2022-11-05
Brant,Ebert,AB423958C,Individual protection 2016,69831681,277.53,2022-11-08
Jazmyn,Graham,AB555426C,Fixed protection 2014,38358912,879.52,2022-11-03
Winnifred,McClure,AB121922C,Individual protection 2016,18756373,448.25,2022-11-04
Gabriella,Heaney,AB165262C,Individual protection 2014,13065717,680.14,2022-11-05
Rosamond,Ortiz,AB655677C,Fixed protection 2016,16729778,433.84,2022-11-06
Chet,Schamberger,AB415771C,Fixed protection 2016,73014114,253.25,2022-11-05
Salvatore,Bayer,AB417309C,Fixed protection 2016,92997224,5.98,2022-11-08
Aleen,O'Kon,AB692701C,Fixed protection 2016,60372380,925.11,2022-11-04
Kaylie,Zemlak,AB641036C,Fixed protection,31779479,497.12,2022-11-04
Jovan,Batz,AB471534C,Individual protection 2016,24821252,823.87,2022-11-01
