First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Gavin,Aufderhar,AB913591C,2022 to 2023,720.91
Moriah,Schamberger,AB766314C,2022 to 2023,246.95
Natalie,Cormier,AB981494C,2022 to 2023,333.78
Sierra,Wolff,AB789796C,2022 to 2023,874.08
Lloyd,Gislason,AB828191C,2022 to 2023,922.39
Esperanza,Pouros,AB483128C,2022 to 2023,623.18
Marlee,Brekke,AB581647C,2022 to 2023,545.92
Geovanni,Jast,AB481776C,2022 to 2023,169.20
Breanna,Lebsack,AB587789C,2022 to 2023,362.10
Jorge,Hyatt,AB774084C,2022 to 2023,598.43
Isabella,McLaughlin,AB715926C,2022 to 2023,39.08
Jess,Bruen,AB982885C,2022 to 2023,552.87
Christine,Kuhlman,AB248071C,2022 to 2023,916.91
Parker,Smitham,AB931286C,2022 to 2023,468.44
Cornell,Windler,AB619268C,2022 to 2023,597.51
Albert,Lynch,AB703935C,2022 to 2023,15.75
Jeromy,Haley,AB521872C,2022 to 2023,36.16
Winnifred,Rodriguez,AB553785C,2022 to 2023,801.39
Luciano,Howe,AB656204C,2022 to 2023,249.51
Adriana,Tremblay,AB268078C,2022 to 2023,652.35
Emory,Schmidt,AB286239C,2022 to 2023,591.08
Cordelia,Aufderhar,AB131208C,2022 to 2023,302.68
Maryam,Gulgowski,AB480847C,2022 to 2023,588.99
Johathan,Balistreri,AB901276C,2022 to 2023,906.20
Genoveva,Johnson,AB413113C,2022 to 2023,242.63
Mossie,Will,AB131433C,2022 to 2023,26.97
Rita,Wiza,AB687457C,2022 to 2023,995.96
Ward,Davis,AB329277C,2022 to 2023,751.81
Marlon,Abbott,AB266475C,2022 to 2023,418.84
Rudy,Boehm,AB650045C,2022 to 2023,242.51
Zakary,Johns,AB917248C,2022 to 2023,816.55
Frederique,Becker,AB129835C,2022 to 2023,892.74
Florian,Doyle,AB272699C,2022 to 2023,900.71
Jayce,Zieme,AB531927C,2022 to 2023,667.04
Elizabeth,Heaney,AB988463C,2022 to 2023,982.32
Cornell,Stehr,AB836560C,2022 to 2023,616.25
Pansy,Simonis,AB980947C,2022 to 2023,505.70
Elsa,Wunsch,AB489825C,2022 to 2023,865.30
Nick,Bernier,AB265322C,2022 to 2023,938.93
Florencio,Ziemann,AB810917C,2022 to 2023,147.50
Gay,Zemlak,AB333927C,2022 to 2023,41.34
Nova,Strosin,AB761965C,2022 to 2023,789.68
Amina,Beer,AB946590C,2022 to 2023,939.49
Danika,Buckridge,AB193221C,2022 to 2023,142.54
Minnie,Hammes,AB864368C,2022 to 2023,521.00
Flossie,Grady,AB967581C,2022 to 2023,894.00
Alexie,Abbott,AB446997C,2022 to 2023,914.93
Jade,Jacobi,AB766198C,2022 to 2023,115.90
Kelly,Farrell,AB910090C,2022 to 2023,334.68
Eloy,Beer,AB128381C,2022 to 2023,550.51
Izabella,Hilll,AB496609C,2022 to 2023,10.07
Jacinthe,Kreiger,AB164378C,2022 to 2023,210.12
Geo,Will,AB947977C,2022 to 2023,316.60
Grady,Schmitt,AB840071C,2022 to 2023,469.31
Ofelia,Tromp,AB414892C,2022 to 2023,65.41
Ashton,Ziemann,AB744730C,2022 to 2023,478.97
Vito,Sporer,AB824808C,2022 to 2023,858.77
Ladarius,Skiles,AB979745C,2022 to 2023,22.51
Ezra,Lesch,AB811525C,2022 to 2023,986.09
Kayley,Bernier,AB352020C,2022 to 2023,872.85
Elwyn,Rippin,AB564357C,2022 to 2023,608.65
Anika,Considine,AB637379C,2022 to 2023,799.67
Bradley,Nienow,AB280292C,2022 to 2023,37.51
Arturo,Rohan,AB873193C,2022 to 2023,898.52
Abigail,Mitchell,AB237348C,2022 to 2023,32.81
Oceane,Nienow,AB341824C,2022 to 2023,61.96
Florine,Breitenberg,AB248179C,2022 to 2023,14.38
Myrtis,Bernhard,AB208992C,2022 to 2023,901.45
Wilfred,Witting,AB732960C,2022 to 2023,488.15
Gertrude,Green,AB971294C,2022 to 2023,290.36
Isabell,Schmitt,AB308675C,2022 to 2023,587.58
Jadon,Jewess,AB785068C,2022 to 2023,548.02
Lemuel,Berge,AB399556C,2022 to 2023,828.58
Cloyd,Fisher,AB273095C,2022 to 2023,146.11
Gracie,Auer,AB744806C,2022 to 2023,591.39
Horacio,Lowe,AB716881C,2022 to 2023,909.31
Ethel,Torp,AB912820C,2022 to 2023,838.22
Akeem,Mayert,AB320813C,2022 to 2023,477.01
Gabriel,Kassulke,AB403093C,2022 to 2023,249.80
Ardella,Stroman,AB278437C,2022 to 2023,537.96
Brooklyn,McGlynn,AB625378C,2022 to 2023,207.38
Wilbert,Willms,AB559220C,2022 to 2023,640.28
Savanna,Kiehn,AB137711C,2022 to 2023,618.50
Lennie,Connelly,AB223458C,2022 to 2023,274.08
Dulce,Dicki,AB962456C,2022 to 2023,563.14
Viva,Jerde,AB268350C,2022 to 2023,768.31
Pierce,Boehm,AB181721C,2022 to 2023,259.58
Kianna,Willms,AB183840C,2022 to 2023,272.41
Sigmund,Lowe,AB969964C,2022 to 2023,435.25
Terence,Heidenreich,AB258831C,2022 to 2023,422.84
Retha,Mayer,AB714031C,2022 to 2023,291.88
Daniela,Schinner,AB300874C,2022 to 2023,904.50
Aurore,Windler,AB221588C,2022 to 2023,949.01
Bryana,Gorczany,AB603341C,2022 to 2023,527.13
Burnice,Wyman,AB330969C,2022 to 2023,502.58
Isobel,Boyle,AB551373C,2022 to 2023,771.82
Elsie,Beatty,AB617076C,2022 to 2023,697.74
Dortha,Goodwin,AB688298C,2022 to 2023,500.47
Payton,D'Amore,AB871594C,2022 to 2023,367.86
Aaliyah,Crooks,AB250496C,2022 to 2023,687.61
Camille,Glover,AB501361C,2022 to 2023,809.76
Jewell,Boyer,AB907800C,2022 to 2023,565.70
Tatyana,Hane,AB597816C,2022 to 2023,692.38
Prince,Metz,AB175323C,2022 to 2023,196.56
Malcolm,Schneider,AB984795C,2022 to 2023,728.17
Elbert,Muller,AB340037C,2022 to 2023,95.53
Everett,Gusikowski,AB562885C,2022 to 2023,21.85
April,O'Keefe,AB841187C,2022 to 2023,562.37
Freda,Hessel,AB993279C,2022 to 2023,386.50
Orville,Anderson,AB658676C,2022 to 2023,477.08
Ava,Gusikowski,AB959933C,2022 to 2023,676.94
Alexandrine,Krajcik,AB343671C,2022 to 2023,33.88
Jeff,Mann,AB574457C,2022 to 2023,884.11
Beulah,Schumm,AB381084C,2022 to 2023,829.15
Piper,Becker,AB221019C,2022 to 2023,316.03
Laverna,Schroeder,AB159522C,2022 to 2023,425.85
Doyle,Dietrich,AB758120C,2022 to 2023,986.91
Rebecca,Brakus,AB344600C,2022 to 2023,772.94
Dino,Abshire,AB709877C,2022 to 2023,173.16
Lenore,Labadie,AB608730C,2022 to 2023,901.73
Eldora,Johnston,AB546161C,2022 to 2023,173.18
Wendell,Yost,AB685016C,2022 to 2023,337.83
Stephon,Huel,AB766703C,2022 to 2023,513.65
Lexus,Hintz,AB909614C,2022 to 2023,138.13
Lavon,Stracke,AB925005C,2022 to 2023,224.07
Darren,Konopelski,AB381844C,2022 to 2023,93.03
Ludie,Schulist,AB869248C,2022 to 2023,536.51
Jayde,Schuster,AB544718C,2022 to 2023,549.87
Laney,Walter,AB648440C,2022 to 2023,165.71
Reanna,Spencer,AB318364C,2022 to 2023,418.99
Chase,Stehr,AB450540C,2022 to 2023,218.03
Georgiana,Nikolaus,AB672300C,2022 to 2023,94.40
Erin,Dietrich,AB802325C,2022 to 2023,256.31
Olin,Satterfield,AB190232C,2022 to 2023,845.74
Darius,Jones,AB565181C,2022 to 2023,562.35
Betsy,Hauck,AB636752C,2022 to 2023,323.84
Jasen,Erdman,AB293123C,2022 to 2023,723.13
Maureen,Armstrong,AB796146C,2022 to 2023,334.36
Jazmyn,Jakubowski,AB538253C,2022 to 2023,416.30
Flavio,Dickinson,AB579451C,2022 to 2023,529.43
Joel,Predovic,AB562412C,2022 to 2023,954.67
Octavia,Predovic,AB304405C,2022 to 2023,845.45
Judson,Kling,AB206012C,2022 to 2023,30.72
Elias,Kuhn,AB335061C,2022 to 2023,807.34
Madisyn,Kris,AB292484C,2022 to 2023,897.81
Mortimer,Okuneva,AB223045C,2022 to 2023,286.05
Mckenna,Grady,AB993053C,2022 to 2023,719.79
Michael,Block,AB985844C,2022 to 2023,549.65
Jamaal,Hodkiewicz,AB908480C,2022 to 2023,731.13
Noah,Windler,AB898621C,2022 to 2023,780.24
Chanelle,Morissette,AB601731C,2022 to 2023,20.06
Kelton,Gottlieb,AB473624C,2022 to 2023,518.86
Natasha,Schmidt,AB798608C,2022 to 2023,27.65
Marilie,Welch,AB377493C,2022 to 2023,503.77
Tianna,Price,AB207497C,2022 to 2023,413.39
Gillian,Reichel,AB666844C,2022 to 2023,170.88
Gladyce,Wehner,AB698309C,2022 to 2023,289.38
Katarina,Mosciski,AB448149C,2022 to 2023,410.22
Emilie,O'Reilly,AB822432C,2022 to 2023,852.04
Carolyn,Bahringer,AB246795C,2022 to 2023,201.20
Brittany,Armstrong,AB926176C,2022 to 2023,766.02
Eliezer,Strosin,AB663986C,2022 to 2023,759.37
Destini,Rath,AB204050C,2022 to 2023,990.92
Ceasar,Aufderhar,AB936302C,2022 to 2023,839.91
Ross,Dickinson,AB440235C,2022 to 2023,967.46
Hollis,Jacobson,AB350748C,2022 to 2023,120.21
Olga,Herman,AB324914C,2022 to 2023,527.64
Xavier,Zboncak,AB811067C,2022 to 2023,362.28
Isaiah,Mertz,AB792276C,2022 to 2023,90.25
Clara,Will,AB957647C,2022 to 2023,22.24
Florine,Heaney,AB232172C,2022 to 2023,614.02
Demetris,Smith,AB608807C,2022 to 2023,404.57
Pete,Carroll,AB249613C,2022 to 2023,658.73
Bo,Welch,AB862249C,2022 to 2023,550.89
Jordon,Bernhard,AB774140C,2022 to 2023,591.04
Savanna,Bartoletti,AB908938C,2022 to 2023,30.42
Kathleen,Gaylord,AB298222C,2022 to 2023,567.31
Arlene,Wehner,AB215449C,2022 to 2023,57.52
Aryanna,McClure,AB862271C,2022 to 2023,865.20
Filiberto,Hansen,AB572675C,2022 to 2023,640.47
Jakob,Schumm,AB371138C,2022 to 2023,826.34
Susana,Hirthe,AB492394C,2022 to 2023,524.73
Fermin,Abernathy,AB489502C,2022 to 2023,902.73
Dorothy,Littel,AB804145C,2022 to 2023,30.55
Aiyana,Conn,AB127794C,2022 to 2023,311.79
Jerel,Koepp,AB567752C,2022 to 2023,885.48
Burnice,Von,AB690145C,2022 to 2023,511.21
Carolina,Wunsch,AB106249C,2022 to 2023,535.55
Heloise,Purdy,AB844351C,2022 to 2023,612.96
Nathanial,Sipes,AB347270C,2022 to 2023,176.52
Kamren,Cassin,AB758999C,2022 to 2023,240.51
Kaleigh,Kuhlman,AB266860C,2022 to 2023,839.36
Danika,Kling,AB566644C,2022 to 2023,195.95
Amelia,Kozey,AB750671C,2022 to 2023,963.82
Evie,Schiller,AB992737C,2022 to 2023,667.03
Jalyn,Hilpert,AB456667C,2022 to 2023,400.16
Jayda,Bednar,AB722739C,2022 to 2023,297.58
Carlos,Carroll,AB612227C,2022 to 2023,450.23
Jaylon,Crist,AB556598C,2022 to 2023,719.11
Zella,Kohler,AB840562C,2022 to 2023,248.28
Carlos,Prohaska,AB785872C,2022 to 2023,938.95
Jaylan,Shields,AB820656C,2022 to 2023,788.24
Alfred,Hand,AB875629C,2022 to 2023,315.43
Sabrina,Schmidt,AB529646C,2022 to 2023,565.30
Tatyana,Cremin,AB705423C,2022 to 2023,839.04
Reanna,D'Amore,AB224409C,2022 to 2023,794.23
Hans,Grimes,AB659597C,2022 to 2023,199.92
Shanel,Willms,AB165303C,2022 to 2023,33.02
Taya,Waters,AB756918C,2022 to 2023,971.68
Jayce,Gaylord,AB546496C,2022 to 2023,571.22
Newton,Schamberger,AB870204C,2022 to 2023,982.18
Sadie,Pollich,AB376754C,2022 to 2023,30.07
Unique,Hoeger,AB262470C,2022 to 2023,130.88
Henderson,Schulist,AB569234C,2022 to 2023,294.26
Bernard,Hand,AB760927C,2022 to 2023,82.24
Antonette,Schoen,AB710330C,2022 to 2023,258.46
Pablo,Mohr,AB487877C,2022 to 2023,212.85
Chadd,Kutch,AB779713C,2022 to 2023,663.23
Mireya,Kulas,AB424017C,2022 to 2023,947.68
Rhianna,Hickle,AB419256C,2022 to 2023,890.79
Emelie,Gaylord,AB318131C,2022 to 2023,356.56
Bryon,Armstrong,AB528233C,2022 to 2023,781.44
Darby,Kerluke,AB301006C,2022 to 2023,54.46
Queenie,Eichmann,AB131770C,2022 to 2023,6.11
Adrianna,Volkman,AB939709C,2022 to 2023,591.38
Kaci,Aufderhar,AB967743C,2022 to 2023,695.89
Angeline,Willms,AB995032C,2022 to 2023,797.13
Granville,McDermott,AB918615C,2022 to 2023,818.14
Irwin,Mayer,AB944652C,2022 to 2023,681.90
Ollie,Shields,AB230396C,2022 to 2023,358.34
Irwin,Torphy,AB593340C,2022 to 2023,889.19
Mervin,Schuppe,AB757208C,2022 to 2023,590.54
Jarrod,Schroeder,AB955236C,2022 to 2023,383.40
Giovanna,Morissette,AB318124C,2022 to 2023,159.35
Brennan,Lebsack,AB662616C,2022 to 2023,867.77
Luigi,Ruecker,AB827941C,2022 to 2023,97.01
Velma,Kuphal,AB978788C,2022 to 2023,563.29
Elissa,Schoen,AB190263C,2022 to 2023,5.39
Grant,Rau,AB311733C,2022 to 2023,218.15
Anahi,Osinski,AB390828C,2022 to 2023,480.95
Lorna,Herman,AB938500C,2022 to 2023,34.32
Vance,Ullrich,AB572217C,2022 to 2023,278.94
Kelton,Wisoky,AB342490C,2022 to 2023,63.19
Dangelo,Morar,AB311822C,2022 to 2023,633.86
Brice,King,AB647741C,2022 to 2023,754.37
Ciara,Skiles,AB606505C,2022 to 2023,939.70
Ernie,Wehner,AB266620C,2022 to 2023,468.17
Myriam,Baumbach,AB329074C,2022 to 2023,470.27
Breanne,Heaney,AB783726C,2022 to 2023,34.11
Fiona,Larkin,AB793255C,2022 to 2023,745.96
Magnus,Denesik,AB516639C,2022 to 2023,41.87
Maryjane,Walsh,AB163056C,2022 to 2023,253.04
Johnny,Nikolaus,AB360977C,2022 to 2023,731.23
Rhianna,Welch,AB987789C,2022 to 2023,377.01
Brandi,Kuhlman,AB155405C,2022 to 2023,664.05
Maude,Fritsch,AB759168C,2022 to 2023,592.31
Pattie,Ankunding,AB916212C,2022 to 2023,746.76
Vada,Effertz,AB238193C,2022 to 2023,972.85
Yessenia,Bashirian,AB625277C,2022 to 2023,495.73
Evan,Schmeler,AB993968C,2022 to 2023,290.96
Drew,Maggio,AB510661C,2022 to 2023,114.06
Emelie,Moore,AB625672C,2022 to 2023,878.75
Taya,Larkin,AB895330C,2022 to 2023,420.63
Kylie,Eichmann,AB770223C,2022 to 2023,443.79
Kirsten,Hettinger,AB851160C,2022 to 2023,636.17
Stacey,Kerluke,AB690753C,2022 to 2023,908.88
Bethany,Ledner,AB236991C,2022 to 2023,777.49
Juliana,Mitchell,AB339959C,2022 to 2023,572.40
Wilhelm,Schowalter,AB830229C,2022 to 2023,156.80
Karine,Schamberger,AB302228C,2022 to 2023,904.59
Chyna,Romaguera,AB545021C,2022 to 2023,488.96
Korey,Hirthe,AB755333C,2022 to 2023,183.28
Isac,Hayes,AB754818C,2022 to 2023,624.27
Mona,Schoen,AB399636C,2022 to 2023,302.17
Isom,Nolan,AB312659C,2022 to 2023,46.38
Cathrine,Gorczany,AB891232C,2022 to 2023,498.73
Anya,Quitzon,AB202696C,2022 to 2023,567.45
Nicolette,Hauck,AB388819C,2022 to 2023,121.36
Felipe,Buckridge,AB269334C,2022 to 2023,775.39
Emma,Littel,AB332346C,2022 to 2023,752.48
Abbey,Schinner,AB226018C,2022 to 2023,873.73
Lelia,Balistreri,AB689801C,2022 to 2023,59.47
Arvilla,Senger,AB828907C,2022 to 2023,614.96
Kayden,Monahan,AB526395C,2022 to 2023,671.84
Emelia,Rippin,AB278677C,2022 to 2023,176.94
Mable,Rice,AB585013C,2022 to 2023,610.98
Valentin,Nikolaus,AB158033C,2022 to 2023,357.86
Denis,Turner,AB261902C,2022 to 2023,552.66
Brown,Schroeder,AB550744C,2022 to 2023,660.60
Marietta,Ruecker,AB141628C,2022 to 2023,258.76
Chesley,Koelpin,AB877995C,2022 to 2023,651.65
Freeman,Maggio,AB558010C,2022 to 2023,903.92
Kenna,Wilkinson,AB859024C,2022 to 2023,905.91
Wilfred,Monahan,AB151225C,2022 to 2023,846.81
Marianne,Sipes,AB763563C,2022 to 2023,539.50
Maude,Kassulke,AB346598C,2022 to 2023,290.25
Noemie,Jacobs,AB811590C,2022 to 2023,628.37
Lavinia,Jerde,AB191966C,2022 to 2023,785.83
Andreane,Streich,AB306307C,2022 to 2023,254.88
Summer,Schimmel,AB528275C,2022 to 2023,508.53
Adelbert,Wuckert,AB910253C,2022 to 2023,329.40
William,Ortiz,AB814596C,2022 to 2023,639.96
Bridie,Herzog,AB526648C,2022 to 2023,40.21
Pete,Quigley,AB491765C,2022 to 2023,492.31
Alba,Goldner,AB167886C,2022 to 2023,878.27
Cicero,Rau,AB884445C,2022 to 2023,940.55
Talon,Nolan,AB272289C,2022 to 2023,637.02
Lesly,Hintz,AB864448C,2022 to 2023,127.31
Preston,Yost,AB179940C,2022 to 2023,248.57
Patrick,Ondricka,AB884971C,2022 to 2023,803.49
Randi,Moore,AB787073C,2022 to 2023,138.68
Elvera,Hilll,AB762505C,2022 to 2023,341.27
Zelma,Kessler,AB880347C,2022 to 2023,354.91
Nayeli,Weimann,AB686337C,2022 to 2023,247.35
Helene,Prosacco,AB441512C,2022 to 2023,141.87
Bill,Beatty,AB219670C,2022 to 2023,956.78
Precious,Boyer,AB644357C,2022 to 2023,639.68
Ana,Reichert,AB727670C,2022 to 2023,564.30
Tanner,Pollich,AB343044C,2022 to 2023,143.55
Alexane,Batz,AB291879C,2022 to 2023,218.25
Hulda,Cassin,AB156036C,2022 to 2023,753.07
Carleton,Purdy,AB505128C,2022 to 2023,51.37
Aisha,Hamill,AB528476C,2022 to 2023,774.97
Marisol,Bayer,AB489604C,2022 to 2023,475.14
Audrey,Shanahan,AB274330C,2022 to 2023,293.65
Jaclyn,Hahn,AB613404C,2022 to 2023,827.06
Desmond,Smith,AB783547C,2022 to 2023,524.06
Faustino,Prohaska,AB981523C,2022 to 2023,572.40
Meaghan,Koepp,AB360307C,2022 to 2023,722.57
Wyman,Leannon,AB702631C,2022 to 2023,318.60
Nakia,Senger,AB371337C,2022 to 2023,310.71
Jermaine,Kirlin,AB831132C,2022 to 2023,355.07
Fidel,Nitzsche,AB321551C,2022 to 2023,19.21
Deven,Olson,AB886252C,2022 to 2023,193.89
Marc,Block,AB431511C,2022 to 2023,768.51
Elva,Torphy,AB922429C,2022 to 2023,186.30
Haley,McClure,AB792585C,2022 to 2023,227.71
Bella,Moore,AB245994C,2022 to 2023,858.87
Efrain,Ondricka,AB507283C,2022 to 2023,831.67
Jazmyn,Dibbert,AB359788C,2022 to 2023,643.56
Walton,Conroy,AB500140C,2022 to 2023,141.64
Emie,Murazik,AB416302C,2022 to 2023,385.94
Elvie,Glover,AB161071C,2022 to 2023,319.16
Neva,Hyatt,AB849932C,2022 to 2023,83.07
Julien,Pfannerstill,AB273801C,2022 to 2023,60.30
Blaise,Herzog,AB981426C,2022 to 2023,295.91
Terrence,Volkman,AB902420C,2022 to 2023,132.42
Peggie,Spencer,AB455207C,2022 to 2023,810.38
Ara,Schmidt,AB692594C,2022 to 2023,263.39
Rhett,Altenwerth,AB588921C,2022 to 2023,643.89
Litzy,Jacobs,AB629312C,2022 to 2023,580.43
Kim,Heller,AB613389C,2022 to 2023,616.79
Darion,Mante,AB944198C,2022 to 2023,722.40
Kaley,Larkin,AB548806C,2022 to 2023,327.41
Jayne,Yost,AB148506C,2022 to 2023,848.89
Gaston,Gottlieb,AB456650C,2022 to 2023,9.68
Ricardo,Reinger,AB136810C,2022 to 2023,19.08
Linwood,Balistreri,AB801094C,2022 to 2023,488.67
Armando,Bayer,AB643209C,2022 to 2023,49.34
Brooklyn,Pacocha,AB787547C,2022 to 2023,321.75
Annetta,Conroy,AB914175C,2022 to 2023,219.69
Mallie,Cremin,AB631818C,2022 to 2023,990.59
Bernadette,D'Amore,AB317398C,2022 to 2023,947.91
Kiera,Kulas,AB554099C,2022 to 2023,588.27
Rosemarie,Lueilwitz,AB130154C,2022 to 2023,45.58
Vella,Terry,AB335367C,2022 to 2023,370.41
Lue,Huel,AB733870C,2022 to 2023,739.42
Yolanda,Bosco,AB382198C,2022 to 2023,99.36
Garnett,Adams,AB160334C,2022 to 2023,88.51
Rashad,Cassin,AB896974C,2022 to 2023,593.69
Jed,Fadel,AB743520C,2022 to 2023,227.33
Isabell,Watsica,AB565391C,2022 to 2023,242.09
Mohamed,McCullough,AB686163C,2022 to 2023,438.81
Esperanza,Deckow,AB410146C,2022 to 2023,493.45
Virginia,Schoen,AB425479C,2022 to 2023,551.32
Bo,Volkman,AB894310C,2022 to 2023,926.97
Sebastian,O'Reilly,AB417806C,2022 to 2023,776.27
Merl,Trantow,AB638246C,2022 to 2023,264.73
Keegan,White,AB342258C,2022 to 2023,957.15
Gilberto,Stracke,AB765106C,2022 to 2023,751.62
Urban,Lemke,AB758427C,2022 to 2023,118.35
Mayra,Upton,AB372008C,2022 to 2023,933.08
Sandra,Auer,AB642712C,2022 to 2023,369.29
Shanna,Hirthe,AB491697C,2022 to 2023,293.86
Katharina,Bradtke,AB167701C,2022 to 2023,159.49
Riley,Johns,AB226545C,2022 to 2023,633.70
Eldon,Greenfelder,AB921012C,2022 to 2023,841.21
Arianna,Lebsack,AB825349C,2022 to 2023,360.47
Elvera,McLaughlin,AB577084C,2022 to 2023,370.52
Bethel,Bayer,AB465525C,2022 to 2023,394.60
Tressa,Doyle,AB782421C,2022 to 2023,145.23
Electa,Kreiger,AB798299C,2022 to 2023,259.79
Jeanette,Jaskolski,AB145107C,2022 to 2023,232.82
Frederick,Beer,AB880755C,2022 to 2023,354.43
Lucienne,Bogisich,AB384915C,2022 to 2023,373.75
Lelia,Bergnaum,AB595292C,2022 to 2023,225.13
Summer,Bernier,AB918328C,2022 to 2023,431.85
Annamae,Hessel,AB503825C,2022 to 2023,357.20
Katharina,Crona,AB206335C,2022 to 2023,308.14
Devyn,Bogan,AB143422C,2022 to 2023,687.93
Austen,Durgan,AB836657C,2022 to 2023,308.50
Dariana,Gibson,AB195823C,2022 to 2023,486.96
Alta,Champlin,AB625123C,2022 to 2023,422.61
Janice,Davis,AB102654C,2022 to 2023,799.24
Kamille,Quitzon,AB990193C,2022 to 2023,150.74
Fabian,Ziemann,AB926828C,2022 to 2023,393.50
Estell,Rosenbaum,AB439649C,2022 to 2023,100.21
Clara,Ruecker,AB393421C,2022 to 2023,154.92
Beth,Wintheiser,AB321255C,2022 to 2023,824.21
Bridie,Frami,AB770910C,2022 to 2023,74.54
Sandra,Collins,AB514556C,2022 to 2023,486.08
Bradley,Upton,AB361805C,2022 to 2023,817.79
Vickie,Hayes,AB685732C,2022 to 2023,62.28
Emmett,Daugherty,AB243801C,2022 to 2023,739.60
Darian,Rosenbaum,AB610648C,2022 to 2023,711.95
Loy,Leffler,AB400533C,2022 to 2023,689.19
Jeramy,Reilly,AB337916C,2022 to 2023,148.64
Ruben,Hoppe,AB975277C,2022 to 2023,737.05
Harvey,Wehner,AB760576C,2022 to 2023,903.98
Jalen,Schumm,AB461143C,2022 to 2023,400.24
Shirley,Gottlieb,AB619105C,2022 to 2023,598.44
Orin,Harber,AB422344C,2022 to 2023,105.77
Santino,Torp,AB737502C,2022 to 2023,503.54
Hailee,Okuneva,AB757521C,2022 to 2023,722.71
Tamia,Will,AB497287C,2022 to 2023,997.19
Holden,Frami,AB932422C,2022 to 2023,12.26
Antoinette,Turner,AB872626C,2022 to 2023,187.53
Maryam,Emard,AB883696C,2022 to 2023,407.35
Kaela,Runolfsdottir,AB516772C,2022 to 2023,548.87
Jaunita,Hansen,AB221217C,2022 to 2023,922.33
Aubree,Bahringer,AB630336C,2022 to 2023,640.47
Sebastian,Heathcote,AB219234C,2022 to 2023,15.67
Mozell,Buckridge,AB266889C,2022 to 2023,155.47
Dolores,Kuhlman,AB414921C,2022 to 2023,140.13
Keith,Grady,AB981339C,2022 to 2023,988.90
Ozella,D'Amore,AB214140C,2022 to 2023,119.76
Hector,Kautzer,AB360344C,2022 to 2023,626.93
Nathaniel,Sauer,AB518679C,2022 to 2023,316.76
Daniela,Bauch,AB551670C,2022 to 2023,184.18
Marlen,Hirthe,AB537788C,2022 to 2023,114.36
Gino,Smith,AB229200C,2022 to 2023,254.63
Jonathan,Lebsack,AB976048C,2022 to 2023,706.14
Angus,McKenzie,AB689719C,2022 to 2023,399.54
Lavern,Mann,AB408734C,2022 to 2023,278.09
Einar,Feeney,AB661730C,2022 to 2023,992.99
Berenice,Kiehn,AB901334C,2022 to 2023,669.33
Candice,Bayer,AB595599C,2022 to 2023,756.84
Tevin,Swift,AB766645C,2022 to 2023,898.61
Duncan,Kshlerin,AB778285C,2022 to 2023,888.51
Kari,Bruen,AB355066C,2022 to 2023,182.09
Hazel,DuBuque,AB162646C,2022 to 2023,966.77
Callie,Lueilwitz,AB320474C,2022 to 2023,845.78
Ronny,Bayer,AB167975C,2022 to 2023,934.86
Zion,Collins,AB562917C,2022 to 2023,868.91
Shakira,Conroy,AB265242C,2022 to 2023,563.64
Bradley,McLaughlin,AB627525C,2022 to 2023,191.83
Sammie,Dickinson,AB223135C,2022 to 2023,219.82
Ara,Mertz,AB996635C,2022 to 2023,514.25
Wiley,Armstrong,AB524320C,2022 to 2023,328.39
Willard,Luettgen,AB900095C,2022 to 2023,221.73
Carmine,VonRueden,AB301058C,2022 to 2023,5.31
Cristina,Haley,AB441309C,2022 to 2023,472.34
Mable,Bosco,AB833416C,2022 to 2023,654.88
Jerald,Gleason,AB382708C,2022 to 2023,541.84
Stephan,Ernser,AB962240C,2022 to 2023,29.57
Ariane,Franecki,AB702183C,2022 to 2023,943.25
Alexanne,Lehner,AB950596C,2022 to 2023,280.18
Daphney,Hirthe,AB512191C,2022 to 2023,516.72
Theresa,Gaylord,AB446186C,2022 to 2023,23.40
Ardella,Harvey,AB422968C,2022 to 2023,654.33
Stacy,Ankunding,AB757657C,2022 to 2023,458.48
Geraldine,Corwin,AB745188C,2022 to 2023,868.37
Birdie,Considine,AB983251C,2022 to 2023,436.94
Millie,Rath,AB618779C,2022 to 2023,52.25
Kylie,Wuckert,AB338323C,2022 to 2023,486.43
Amira,Becker,AB931558C,2022 to 2023,4.48
Justyn,Mraz,AB421728C,2022 to 2023,370.39
Zena,Littel,AB671067C,2022 to 2023,523.43
Eleanore,Stiedemann,AB768619C,2022 to 2023,119.41
Maybelle,Rohan,AB832039C,2022 to 2023,55.09
Bert,Weissnat,AB212688C,2022 to 2023,385.27
Clifton,Kunde,AB595668C,2022 to 2023,361.54
Norberto,Bayer,AB195202C,2022 to 2023,718.87
Jaylen,Stark,AB706848C,2022 to 2023,356.94
Shyann,Block,AB170135C,2022 to 2023,339.80
Gabriella,Ferry,AB371079C,2022 to 2023,750.37
Krystel,Dickinson,AB776593C,2022 to 2023,467.14
Arely,Rowe,AB472180C,2022 to 2023,417.69
Kade,Pollich,AB451856C,2022 to 2023,963.20
Beaulah,Nitzsche,AB351785C,2022 to 2023,454.10
Ottilie,Bins,AB994655C,2022 to 2023,333.70
George,White,AB500934C,2022 to 2023,60.00
Eugene,Anderson,AB859775C,2022 to 2023,672.46
Luis,Stehr,AB807963C,2022 to 2023,49.86
